Distributor,BrandName,Type,Price,BottleVolume,Description
Oliver & Oliver International Inc,Ron Quorhum Aniversario 30 Years,Dark rum,52.72,700,Ron Quorhum Aniversario 30 Years is the name of a brand of dark rum distributed by Oliver & Oliver International Inc. Bottles have a volume of 700 ml. The retail price is $52.72.
Oliver & Oliver International Inc,Ron Quorhum Años Solera 15 Years,Dark rum,32.17,700,Ron Quorhum Años Solera 15 Years is the name of a brand of dark rum distributed by Oliver & Oliver International Inc. Bottles have a volume of 700 ml. The retail price is $32.17.
Oliver & Oliver International Inc,Ron Quorhum Años Solera 12 Years,Dark rum,26.61,700,Ron Quorhum Años Solera 12 Years is the name of a brand of dark rum distributed by Oliver & Oliver International Inc. Bottles have a volume of 700 ml. The retail price is $26.61.
H Clément,Clément Select Barrel Rhum Agricole,Dark rum,24.94,700,Clément Select Barrel Rhum Agricole is the name of a brand of dark rum distributed by H Clément. Bottles have a volume of 700 ml. The retail price is $24.94.
Enjoy Wine & Spirits,The Brand New Republique Gran Añejo 3 años,Dark rum,13.28,700,The Brand New Republique Gran Añejo 3 años is the name of a brand of dark rum distributed by Enjoy Wine & Spirits. Bottles have a volume of 700 ml. The retail price is $13.28.
Bacardi,Bacardi Pineapple,Flavored rum,13.11,700,Bacardi Pineapple is the name of a brand of Flavored rum distributed by Bacardi. Bottles have a volume of 700 ml. The retail price is $13.11.
Bodegas América,Zafra Ron Master Reserve 21 Years,Dark rum,49.94,700,Zafra Ron Master Reserve 21 Years is the name of a brand of dark rum distributed by Bodegas América. Bottles have a volume of 700 ml. The retail price is $49.94.
Trigo Corporation,Trigo Reserva Aneja,Dark rum,38.72,700,Trigo Reserva Aneja is the name of a brand of dark rum distributed by Trigo Corporation. Bottles have a volume of 700 ml. The retail price is $38.72.
Antigua Distillery Ltd,English Harbour Reserve 10 Years,Dark rum,38.72,700,English Harbour Reserve 10 Years is the name of a brand of dark rum distributed by Antigua Distillery Ltd. Bottles have a volume of 700 ml. The retail price is $38.72.
Antigua Distillery Ltd,English Harbour 5 Years,Dark rum,22.11,700,English Harbour 5 Years is the name of a brand of dark rum distributed by Antigua Distillery Ltd. Bottles have a volume of 700 ml. The retail price is $22.11.
The Island Rum Company AS,Black Tears Spiced Cuban Rum,Spiced rum,10.5,700,Black Tears Spiced Cuban Rum is the name of a brand of spiced rum distributed by The Island Rum Company AS. Bottles have a volume of 700 ml. The retail price is $10.5.
Oliver & Oliver International,Cubaney Tesoro Gran Reserva 25 Years,Dark rum,55.28,700,Cubaney Tesoro Gran Reserva 25 Years is the name of a brand of dark rum distributed by Oliver & Oliver International. Bottles have a volume of 700 ml. The retail price is $55.28.
Phantom Spirits ApS,Phantom Spirits Mikkeller Beer Geek Vanilla Shake Cask 4 Years,Dark rum,21.78,500,Phantom Spirits Mikkeller Beer Geek Vanilla Shake Cask 4 Years is the name of a brand of dark rum distributed by Phantom Spirits ApS. Bottles have a volume of 500 ml. The retail price is $21.78.
AB Svenska Sprit TBH,AB Svenska Sprit Rom Blank,Light rum,16.61,500,AB Svenska Sprit Rom Blank is the name of a brand of light rum distributed by AB Svenska Sprit TBH. Bottles have a volume of 500 ml. The retail price is $16.61.
La Martiniquaise,J Bally 7 ans Pyramide,Dark rum,27.72,700,J Bally 7 ans Pyramide is the name of a brand of dark rum distributed by La Martiniquaise. Bottles have a volume of 700 ml. The retail price is $27.72.
Distillerie Bielle,Rhum Bielle Blanc,Light rum,25.06,500,Rhum Bielle Blanc is the name of a brand of light rum distributed by Distillerie Bielle. Bottles have a volume of 500 ml. The retail price is $25.06.
Distillerie Bielle,Rhum Bielle 40th Anniversary,Dark rum,71.67,700,Rhum Bielle 40th Anniversary is the name of a brand of dark rum distributed by Distillerie Bielle. Bottles have a volume of 700 ml. The retail price is $71.67.
Distillerie Bielle,Rhum Bielle Small Batch,Dark rum,136.89,700,Rhum Bielle Small Batch is the name of a brand of dark rum distributed by Distillerie Bielle. Bottles have a volume of 700 ml. The retail price is $136.89.
LMDW / Velier S.p.A,Port Mourant White,Light rum,45.39,700,Port Mourant White is the name of a brand of light rum distributed by LMDW / Velier S.p.A. Bottles have a volume of 700 ml. The retail price is $45.39.
LMDW / Velier S.p.A,Marie Galante Muller White,Light rum,46.0,700,Marie Galante Muller White is the name of a brand of light rum distributed by LMDW / Velier S.p.A. Bottles have a volume of 700 ml. The retail price is $46.0.
Edition Spirits,Guatemala Kill Devil 8 Years,Dark rum,43.17,700,Guatemala Kill Devil 8 Years is the name of a brand of dark rum distributed by Edition Spirits. Bottles have a volume of 700 ml. The retail price is $43.17.
Edition Spirits,Trinidad Kill Devil 24 Years,Dark rum,100.94,700,Trinidad Kill Devil 24 Years is the name of a brand of dark rum distributed by Edition Spirits. Bottles have a volume of 700 ml. The retail price is $100.94.
Granqvist Beverage House AB,Rhum Extra Premium Selection 24 years,Dark rum,94.39,500,Rhum Extra Premium Selection 24 years is the name of a brand of dark rum distributed by Granqvist Beverage House AB. Bottles have a volume of 500 ml. The retail price is $94.39.
Granqvist Beverage House AB,Rhum Extra Premium Selection 10 years,Dark rum,41.06,500,Rhum Extra Premium Selection 10 years is the name of a brand of dark rum distributed by Granqvist Beverage House AB. Bottles have a volume of 500 ml. The retail price is $41.06.
Granqvist Beverage House AB,Rhum Extra Premium Selection 15 Years,Dark rum,44.39,500,Rhum Extra Premium Selection 15 Years is the name of a brand of dark rum distributed by Granqvist Beverage House AB. Bottles have a volume of 500 ml. The retail price is $44.39.
Granqvist Beverage House AB,Rhum Extra Premium Selection 11 Years,Dark rum,41.61,500,Rhum Extra Premium Selection 11 Years is the name of a brand of dark rum distributed by Granqvist Beverage House AB. Bottles have a volume of 500 ml. The retail price is $41.61.
Granqvist Beverage House AB,Rhum Extra Premium Selection 12 Years,Dark rum,38.83,500,Rhum Extra Premium Selection 12 Years is the name of a brand of dark rum distributed by Granqvist Beverage House AB. Bottles have a volume of 500 ml. The retail price is $38.83.
Granqvist Beverage House AB,Rhum Extra Premium Selection 11 Years,Dark rum,43.28,500,Rhum Extra Premium Selection 11 Years is the name of a brand of dark rum distributed by Granqvist Beverage House AB. Bottles have a volume of 500 ml. The retail price is $43.28.
Destilerías Unidas,Diplomático Reserva Exclusiva,Dark rum,34.72,600,Diplomático Reserva Exclusiva is the name of a brand of dark rum distributed by Destilerías Unidas. Bottles have a volume of 600 ml. The retail price is $34.72.
Angostura,1787 Angostura 15 Years,Dark rum,43.94,700,1787 Angostura 15 Years is the name of a brand of dark rum distributed by Angostura. Bottles have a volume of 700 ml. The retail price is $43.94.
Havana Club International,Havana Club Añejo 7 años,Dark rum,15.22,700,Havana Club Añejo 7 años is the name of a brand of dark rum distributed by Havana Club International. Bottles have a volume of 700 ml. The retail price is $15.22.
Destilerías Aldea,Ron Aldea Maestro,Dark rum,30.5,700,Ron Aldea Maestro is the name of a brand of dark rum distributed by Destilerías Aldea. Bottles have a volume of 700 ml. The retail price is $30.5.
Bristol Spirits,Bristol Classic Rum Port Morant Demerara 16 Years,Dark rum,76.61,700,Bristol Classic Rum Port Morant Demerara 16 Years is the name of a brand of dark rum distributed by Bristol Spirits. Bottles have a volume of 700 ml. The retail price is $76.61.
La Case des Saveurs/LWdM,Rhum Vieux Contrebandei,Dark rum,38.72,700,Rhum Vieux Contrebandei is the name of a brand of dark rum distributed by La Case des Saveurs/LWdM. Bottles have a volume of 700 ml. The retail price is $38.72.
Facile & Co,Noble Selected Caribbean Rum,Dark rum,19.39,700,Noble Selected Caribbean Rum is the name of a brand of dark rum distributed by Facile & Co. Bottles have a volume of 700 ml. The retail price is $19.39.
Diageo Plc,Zacapa Edicion Negra,Dark rum,41.61,700,Zacapa Edicion Negra is the name of a brand of dark rum distributed by Diageo Plc. Bottles have a volume of 700 ml. The retail price is $41.61.
Sebastian Stroh,Stroh 60%,Dark rum,16.61,500,Stroh 60% is the name of a brand of dark rum distributed by Sebastian Stroh. Bottles have a volume of 500 ml. The retail price is $16.61.
Sebastian Stroh,Stroh 40%,Dark rum,13.83,500,Stroh 40% is the name of a brand of dark rum distributed by Sebastian Stroh. Bottles have a volume of 500 ml. The retail price is $13.83.
SEBASTIAN STROH GESMBH,STROH 80,Dark rum,19.39,500,STROH 80 is the name of a brand of dark rum distributed by SEBASTIAN STROH GESMBH. Bottles have a volume of 500 ml. The retail price is $19.39.
Haromex Development GmbH,Cavalier Antigua White,Light rum,25.44,1000,Cavalier Antigua White is the name of a brand of light rum distributed by Haromex Development GmbH. Bottles have a volume of 1000 ml. The retail price is $25.44.
Haromex Development GmbH,Cavalier Antigua Gold,Dark rum,25.44,1000,Cavalier Antigua Gold is the name of a brand of dark rum distributed by Haromex Development GmbH. Bottles have a volume of 1000 ml. The retail price is $25.44.
Haromex Development GmbH,Hampden Estate Gold,Dark rum,24.44,700,Hampden Estate Gold is the name of a brand of dark rum distributed by Haromex Development GmbH. Bottles have a volume of 700 ml. The retail price is $24.44.
Radico Khaitan,Contessa Blended 12 Years Rum,Dark rum,14.5,700,Contessa Blended 12 Years Rum is the name of a brand of dark rum distributed by Radico Khaitan. Bottles have a volume of 700 ml. The retail price is $14.5.
Haromex Development GmbH,Secret Treasures Central America 10 Years,Dark rum,33.06,700,Secret Treasures Central America 10 Years is the name of a brand of dark rum distributed by Haromex Development GmbH. Bottles have a volume of 700 ml. The retail price is $33.06.
St Nicholas Abbey,St Nicholas Abbey 12 Years,Dark rum,79.78,700,St Nicholas Abbey 12 Years is the name of a brand of dark rum distributed by St Nicholas Abbey. Bottles have a volume of 700 ml. The retail price is $79.78.
Haromex Development GmbH,Secret Treasures South America 15 Years,Dark rum,41.89,700,Secret Treasures South America 15 Years is the name of a brand of dark rum distributed by Haromex Development GmbH. Bottles have a volume of 700 ml. The retail price is $41.89.
Edition Spirits,Uitvlugt Kill Devil Single Cask Rum,Dark rum,68.67,700,Uitvlugt Kill Devil Single Cask Rum is the name of a brand of dark rum distributed by Edition Spirits. Bottles have a volume of 700 ml. The retail price is $68.67.
Edition Spirits,Guyana Diamond Pot Still 12 Years,Dark rum,63.11,700,Guyana Diamond Pot Still 12 Years is the name of a brand of dark rum distributed by Edition Spirits. Bottles have a volume of 700 ml. The retail price is $63.11.
Edition Spirits,Caroni Kill Devil 17 Years,Dark rum,146.78,700,Caroni Kill Devil 17 Years is the name of a brand of dark rum distributed by Edition Spirits. Bottles have a volume of 700 ml. The retail price is $146.78.
Industria Licorera Quezalteca,Botran Reserva Blanca,Light rum,16.06,700,Botran Reserva Blanca is the name of a brand of light rum distributed by Industria Licorera Quezalteca. Bottles have a volume of 700 ml. The retail price is $16.06.
Bodegas de America,Rom Malecon Rare Proof 20 Years,Dark rum,48.83,700,Rom Malecon Rare Proof 20 Years is the name of a brand of dark rum distributed by Bodegas de America. Bottles have a volume of 700 ml. The retail price is $48.83.
Novo Fogo,Novo Fogo Tanager Cachaça,Dark rum,34.94,700,Novo Fogo Tanager Cachaça is the name of a brand of dark rum distributed by Novo Fogo. Bottles have a volume of 700 ml. The retail price is $34.94.
Novo Fogo,Novo Fogo Barrel-Aged Cachaça,Dark rum,33.78,700,Novo Fogo Barrel-Aged Cachaça is the name of a brand of dark rum distributed by Novo Fogo. Bottles have a volume of 700 ml. The retail price is $33.78.
Novo Fogo,Novo Fogo Chameleon Cachaça,Dark rum,33.22,700,Novo Fogo Chameleon Cachaça is the name of a brand of dark rum distributed by Novo Fogo. Bottles have a volume of 700 ml. The retail price is $33.22.
Novo Fogo,Novo Fogo Silver Cachaça,Light rum,27.72,700,Novo Fogo Silver Cachaça is the name of a brand of light rum distributed by Novo Fogo. Bottles have a volume of 700 ml. The retail price is $27.72.
Bodegas Suau,Ron Jungla,Dark rum,31.28,700,Ron Jungla is the name of a brand of dark rum distributed by Bodegas Suau. Bottles have a volume of 700 ml. The retail price is $31.28.
Zonneveld Beverage Company,Caña de Emperador 16 Years,Dark rum,33.28,700,Caña de Emperador 16 Years is the name of a brand of dark rum distributed by Zonneveld Beverage Company. Bottles have a volume of 700 ml. The retail price is $33.28.
Berry Bros & Rudd,Penny Blue XO Batch 005,Dark rum,36.06,700,Penny Blue XO Batch 005 is the name of a brand of dark rum distributed by Berry Bros & Rudd. Bottles have a volume of 700 ml. The retail price is $36.06.
Zonneveld Beverage Company,By the Dutch Batavia Arrack,Dark rum,33.28,700,By the Dutch Batavia Arrack is the name of a brand of dark rum distributed by Zonneveld Beverage Company. Bottles have a volume of 700 ml. The retail price is $33.28.
Cognac Ferrand,Plantation Single Cask Barbados 7 YO Tiny Barrels Mackmyra Ambassador,Dark rum,52.72,700,Plantation Single Cask Barbados 7 YO Tiny Barrels Mackmyra Ambassador is the name of a brand of dark rum distributed by Cognac Ferrand. Bottles have a volume of 700 ml. The retail price is $52.72.
Bristol Spirits,Caroni,Dark rum,116.56,700,Caroni is the name of a brand of dark rum distributed by Bristol Spirits. Bottles have a volume of 700 ml. The retail price is $116.56.
Edition Spirits,Kill Devil Pot Still 9 Years Guyana,Dark rum,58.83,700,Kill Devil Pot Still 9 Years Guyana is the name of a brand of dark rum distributed by Edition Spirits. Bottles have a volume of 700 ml. The retail price is $58.83.
Cognac Ferrand,Plantation Experience,Dark rum,24.94,600,Plantation Experience is the name of a brand of dark rum distributed by Cognac Ferrand. Bottles have a volume of 600 ml. The retail price is $24.94.
La Maison Du Whisky,Transcontinental Rum Line Panama,Dark rum,35.94,700,Transcontinental Rum Line Panama is the name of a brand of dark rum distributed by La Maison Du Whisky. Bottles have a volume of 700 ml. The retail price is $35.94.
La Maison Du Whisky,Transcontinental Rum Line WP Jamaica,Dark rum,44.72,700,Transcontinental Rum Line WP Jamaica is the name of a brand of dark rum distributed by La Maison Du Whisky. Bottles have a volume of 700 ml. The retail price is $44.72.
Le Maison du Whisky,Transcontinental Rum Line Guadeloupe,Dark rum,37.78,700,Transcontinental Rum Line Guadeloupe is the name of a brand of dark rum distributed by Le Maison du Whisky. Bottles have a volume of 700 ml. The retail price is $37.78.
Demerara Distillers,El Dorado 3 Years,Light rum,16.39,700,El Dorado 3 Years is the name of a brand of light rum distributed by Demerara Distillers. Bottles have a volume of 700 ml. The retail price is $16.39.
Compagnie Des Indes,Compagnie Des Indes Jamaica 5 Years Old Blend,Dark rum,29.78,700,Compagnie Des Indes Jamaica 5 Years Old Blend is the name of a brand of dark rum distributed by Compagnie Des Indes. Bottles have a volume of 700 ml. The retail price is $29.78.
Oliver & Oliver,Presidente Marti Gran Añejo,Dark rum,28.33,700,Presidente Marti Gran Añejo is the name of a brand of dark rum distributed by Oliver & Oliver. Bottles have a volume of 700 ml. The retail price is $28.33.
Cognac Ferrand,Plantation Singel Cask Guyana Tequila Ocho Cognac Ferrand,Dark rum,88.83,700,Plantation Singel Cask Guyana Tequila Ocho Cognac Ferrand is the name of a brand of dark rum distributed by Cognac Ferrand. Bottles have a volume of 700 ml. The retail price is $88.83.
Navy Island Rum Company,Navy Island 10 YO Select Cask,Dark rum,66.61,700,Navy Island 10 YO Select Cask is the name of a brand of dark rum distributed by Navy Island Rum Company. Bottles have a volume of 700 ml. The retail price is $66.61.
Oliver & Oliver,Oliver´s Exquisito,Dark rum,47.44,700,Oliver´s Exquisito is the name of a brand of dark rum distributed by Oliver & Oliver. Bottles have a volume of 700 ml. The retail price is $47.44.
Habitation Velier,Last Ward Rum 10 Years,Dark rum,74.0,700,Last Ward Rum 10 Years is the name of a brand of dark rum distributed by Habitation Velier. Bottles have a volume of 700 ml. The retail price is $74.0.
Habitation Velier,Forsyths Jamaican Pure Single Rum 11 Years,Dark rum,77.67,700,Forsyths Jamaican Pure Single Rum 11 Years is the name of a brand of dark rum distributed by Habitation Velier. Bottles have a volume of 700 ml. The retail price is $77.67.
Habitation Velier,Last Ward Rum 9 Years,Dark rum,78.06,700,Last Ward Rum 9 Years is the name of a brand of dark rum distributed by Habitation Velier. Bottles have a volume of 700 ml. The retail price is $78.06.
Habitation Velier,Forsyths White Jamaican Pure Single Rum,Light rum,43.39,700,Forsyths White Jamaican Pure Single Rum is the name of a brand of light rum distributed by Habitation Velier. Bottles have a volume of 700 ml. The retail price is $43.39.
Distillerie Bielle,Rhum Bielle Rhum Agricole Marie-Galante,Dark rum,211.33,700,Rhum Bielle Rhum Agricole Marie-Galante is the name of a brand of dark rum distributed by Distillerie Bielle. Bottles have a volume of 700 ml. The retail price is $211.33.
Louisiana Spirits,Bayou Spiced,Spiced rum,15.5,700,Bayou Spiced is the name of a brand of spiced rum distributed by Louisiana Spirits. Bottles have a volume of 700 ml. The retail price is $15.5.
Lousiana Spirits LLC,Bayou Rum Silver,Light rum,15.5,700,Bayou Rum Silver is the name of a brand of light rum distributed by Lousiana Spirits LLC. Bottles have a volume of 700 ml. The retail price is $15.5.
Louisiana Spirits,Bayou Rum Reserve,Dark rum,16.61,700,Bayou Rum Reserve is the name of a brand of dark rum distributed by Louisiana Spirits. Bottles have a volume of 700 ml. The retail price is $16.61.
Diageo plc,Zacapa Royal,Dark rum,144.39,700,Zacapa Royal is the name of a brand of dark rum distributed by Diageo plc. Bottles have a volume of 700 ml. The retail price is $144.39.
Brands For Fans,Motörhead Premium Dark Rum,Dark rum,20.5,700,Motörhead Premium Dark Rum is the name of a brand of dark rum distributed by Brands For Fans. Bottles have a volume of 700 ml. The retail price is $20.5.
Renbjer & Magnusson AB,Ron Escudero Reserva,Dark rum,27.67,700,Ron Escudero Reserva is the name of a brand of dark rum distributed by Renbjer & Magnusson AB. Bottles have a volume of 700 ml. The retail price is $27.67.
Foursquare Distillery,Foursquare,Dark rum,44.33,700,Foursquare is the name of a brand of dark rum distributed by Foursquare Distillery. Bottles have a volume of 700 ml. The retail price is $44.33.
Foursquare Distillery,Foursquare Premise,Dark rum,44.33,700,Foursquare Premise is the name of a brand of dark rum distributed by Foursquare Distillery. Bottles have a volume of 700 ml. The retail price is $44.33.
Rossi & Rossi,Ron Millonario Reserva Especial Solera 15,Dark rum,38.83,700,Ron Millonario Reserva Especial Solera 15 is the name of a brand of dark rum distributed by Rossi & Rossi. Bottles have a volume of 700 ml. The retail price is $38.83.
Ron Millonario,Ron Millonario XO,Dark rum,62.72,700,Ron Millonario XO is the name of a brand of dark rum distributed by Ron Millonario. Bottles have a volume of 700 ml. The retail price is $62.72.
Rossi & Rossi,Ron Millonario 10 Years Anniversaro Reserva,Dark rum,36.06,700,Ron Millonario 10 Years Anniversaro Reserva is the name of a brand of dark rum distributed by Rossi & Rossi. Bottles have a volume of 700 ml. The retail price is $36.06.
Bem Bom,Bem Bom Cachaca,Light rum,22.0,700,Bem Bom Cachaca is the name of a brand of light rum distributed by Bem Bom. Bottles have a volume of 700 ml. The retail price is $22.0.
Domaine de l'Acajou,Clément Rare Cask,Dark rum,55.56,500,Clément Rare Cask is the name of a brand of dark rum distributed by Domaine de l'Acajou. Bottles have a volume of 500 ml. The retail price is $55.56.
Cognac Ferrand,Plantation Pineapple,Flavored rum,21.94,700,Plantation Pineapple is the name of a brand of Flavored rum distributed by Cognac Ferrand. Bottles have a volume of 700 ml. The retail price is $21.94.
Ron Valdeflores,Ron Valdeflores Handcrafted Organic Oaxaca 8 Years,Dark rum,43.28,700,Ron Valdeflores Handcrafted Organic Oaxaca 8 Years is the name of a brand of dark rum distributed by Ron Valdeflores. Bottles have a volume of 700 ml. The retail price is $43.28.
Ron Valdeflores,Ron Valdeflores Handcrafted Organic Oaxaca 3 Years,Dark rum,34.39,700,Ron Valdeflores Handcrafted Organic Oaxaca 3 Years is the name of a brand of dark rum distributed by Ron Valdeflores. Bottles have a volume of 700 ml. The retail price is $34.39.
Ron Valdeflores,Ron Valdeflores Blanco Organic,Light rum,26.11,700,Ron Valdeflores Blanco Organic is the name of a brand of light rum distributed by Ron Valdeflores. Bottles have a volume of 700 ml. The retail price is $26.11.
Foursquare Distillery,Uppsala Distillery Independent Bottler Barbados Rum 10 Years Old,Dark rum,38.78,500,Uppsala Distillery Independent Bottler Barbados Rum 10 Years Old is the name of a brand of dark rum distributed by Foursquare Distillery. Bottles have a volume of 500 ml. The retail price is $38.78.
A.H.Riise,A.H. Riise Royal Danish Navy Rum,Dark rum,44.39,700,A.H. Riise Royal Danish Navy Rum is the name of a brand of dark rum distributed by A.H.Riise. Bottles have a volume of 700 ml. The retail price is $44.39.
